timestamp,customer_id,type,amount,oldbalanceOrg,dest_id,newbalanceOrig,oldbalanceDest,newbalanceDest,isFraud,kyc_verified,customer_risk_score,account_age_days,is_pep
36:56.0,CUST0156,CASH-OUT,1250.69,8302.91,D744388727,8613.43,9140.49,1957.54,0,TRUE,0.212904376,189,FALSE
37:56.0,CUST0364,CASH-OUT,5666.36,17730.02,D801772256,7978.52,16686.37,6996.37,0,TRUE,0.838079632,41,FALSE
38:56.0,CUST0915,CASH-OUT,2288.11,2606.29,D124531912,10522.03,15808.49,13018.79,0,TRUE,0.398838064,90,FALSE
39:56.0,CUST0225,PAYMENT,2726.16,11118.02,D468942808,8554.43,10248.94,22445.65,0,TRUE,0.673234107,273,FALSE
40:56.0,CUST0947,CASH-OUT,3473.3,11502.79,D917477622,18485.68,25113.11,16597.44,0,TRUE,0.39976846,216,FALSE
41:56.0,CUST0802,CASH-OUT,513.15,11135.29,D435149332,8995.8,25040.76,12655.18,0,TRUE,0.688230361,343,FALSE
42:56.0,CUST0686,PAYMENT,2411.98,7256.74,D461479461,10728.49,32215.13,4866.06,0,TRUE,0.281487794,210,FALSE
43:56.0,CUST0866,CASH-IN,2457.64,554.09,D102655463,21029.19,18346.27,34872.46,0,TRUE,0.07671587,156,FALSE
44:56.0,CUST0686,TRANSFER,1263.66,4609.3,D769840612,4974.4,20748.52,15006.04,0,TRUE,0.281487794,210,FALSE
45:56.0,CUST0245,CASH-IN,1057.59,14227.16,D707861792,12984.31,12474.65,5156.43,0,TRUE,0.977470358,60,FALSE
46:56.0,CUST0228,CASH-IN,7302.54,4975.21,D543557809,2910.1,9989.9,5180.09,0,TRUE,0.63958432,12,FALSE
47:56.0,CUST0215,CASH-OUT,2736.91,17836.51,D779532529,1747.54,2137.51,9037.71,0,TRUE,0.984985247,140,FALSE
48:56.0,CUST0845,CASH-OUT,5911.44,28169.83,D290250799,10004.54,6322.73,3906.62,0,TRUE,0.362011319,179,FALSE
49:56.0,CUST0425,CASH-OUT,2141.14,31285.98,D626948433,6938.91,1507.61,2908.3,0,TRUE,0.301969808,330,FALSE
50:56.0,CUST0982,TRANSFER,6203.3,17535.38,D977940576,584.46,14880.02,20776.29,0,TRUE,0.674023244,259,FALSE
51:56.0,CUST0865,CASH-IN,1811.47,139.8,D968494858,5605.07,40852.41,19223.91,0,TRUE,0.870211484,354,FALSE
52:56.0,CUST0026,CASH-OUT,238.49,13856.95,D431930061,23970.94,23181.49,6215.09,0,TRUE,0.828091527,233,FALSE
53:56.0,CUST0607,CASH-IN,915.49,7074.6,D833648944,10304.82,8999.36,23796.06,0,TRUE,0.462598883,297,FALSE
